Nome: BELA VISTA
Codigo Estacao: 83701
Latitude: -22.1
Longitude: -56.53
Altitude: 161
Situacao: Desativada
Data Inicial: 2025-01-01
Data Final: 2025-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2025-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2025-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

